ID,Champion_Name,Health,Mana,Health_Regen,Mana_Regen,Attack_Demage,Armor,Magic_Resistance,Attack_Speed,Movement_Speed,Range
0,Aatrox,650,0,3,0,60,38,32,65,345,175
1,Ahri,570,418,2,8,53,18,30,66,330,550
2,Akali,570,200,9,0,62,23,37,62,345,125
3,Akshan,630,350,4,7,52,26,30,63,330,500
4,Alistar,670,350,8,8,62,44,32,62,330,125
5,Amumu,685,285,9,5,53,30,32,74,335,125
6,Anivia,550,495,5,8,51,21,30,62,325,600
7,Annie,594,418,5,8,50,19,30,57,335,625
8,Aphelios,580,348,3,4,55,26,30,64,325,550
9,Ashe,640,280,3,4,59,26,30,65,325,600
10,Aurelion Sol,645,350,7,8,57,19,30,62,325,550
11,Azir,622,480,7,8,52,19,30,62,335,525
12,Bard,630,350,5,4,52,34,30,62,330,500
13,Bel'Veth,610,0,6,0,60,32,32,85,340,175
14,Blitzcrank,653,267,7,8,62,40,32,62,325,125
15,Brand,590,469,5,6,57,22,30,62,340,550
16,Braum,610,311,8,8,55,47,32,64,335,125
17,Caitlyn,580,315,3,5,62,28,30,68,325,650
18,Camille,646,339,8,7,68,35,32,64,340,125
19,Cassiopeia,630,350,5,8,53,18,32,64,328,550
20,Cho'Gath,644,270,9,4,69,38,32,62,345,125
21,Corki,588,350,5,5,55,28,30,63,325,550
22,Darius,652,263,1,3,64,39,32,62,340,175
23,Diana,640,375,6,8,57,31,32,62,345,150
24,Dr. Mundo,653,0,6,0,61,32,32,72,345,125
25,Draven,675,360,4,6,62,29,30,67,330,550
26,Ekko,655,280,9,8,58,32,32,68,340,125
27,Elise,650,324,55,8,55,30,30,62,330,550
28,Evelynn,642,315,8,6,61,37,321,66,335,125
29,Ezreal,600,375,4,6,60,24,30,62,325,550
30,Fiddlesticks,650,500,55,8,55,34,30,62,335,480
31,Fiora,620,300,8,7,68,33,32,69,345,150
32,Fizz,640,317,8,8,58,22,32,65,335,175
33,Galio,632,500,8,7,59,24,32,62,335,150
34,Gangplank,600,280,6,7,64,31,32,66,345,125
35,Garen,690,0,8,0,66,36,32,62,340,175
36,Gnar,540,100,4,0,57,32,30,62,335,400
37,Gragas,670,400,5,8,64,38,32,67,330,125
